MODELO;MARCA
NEW GRAND CHEROKEE L 4X4 3.6 AUT;JEEP
FX35 4X4 3.5 AUT;INFINITI
CR V EXS 2.4 AUT;HONDA
SORENTO GLS 4X4 2.4;KIA MOTORS
CHEROKEE SPORT 3.7 AUT;JEEP
LAND CRUISER PRADO VX LIMITED 4.0;TOYOTA
NEW CARENS EX 2.0 AUT;KIA MOTORS
X1 2.8I PR 3.0 AUT;BMW
N OUTLANDER GLS 2.4 AUT;MITSUBISHI
NEW SORENTO EX 4X4 2.2;KIA MOTORS
V50 2.0;VOLVO
QASHQAI CVT 2.0 AUT;NISSAN
SANTA FE FL GLS 4WD 2.4;HYUNDAI
XC60 PLUS 4X4 2.4 AUT;VOLVO
NEW ESCAPE XLT 2.5 AUT;FORD
CX7 GT AWD AT;MAZDA
ML500 5.5;MERCEDES BENZ
RANGE ROVER 5.0;LAND ROVER
NEW RAV4 4X4 2.4 AUT;TOYOTA
SPORTAGE PRO II LX DAB AUT;KIA MOTORS
GRAND NOMADE LE SPORT 3.2 AUT;SUZUKI
ACTYON CRDI 4X4 2.0;SSANGYONG
CARNIVAL LX GSL 2.7 AUT;KIA MOTORS
XC60 PLUS 2.0;VOLVO
TOUAREG 3.6 AUT;VOLKSWAGEN
ACTYON XDI 4X4 2.0;SSANGYONG
FREELANDER 2 HSE 2.2;LAND ROVER
CRV LXS 4X4 2.4 AUT;HONDA
X TRAIL FULL 4X4 2.5;NISSAN
XC60 COMFORT 2.0;VOLVO
NEW OUTLANDER K2 GL 2.4 AT;MITSUBISHI
SUBURBAN LS SU 4WD 5.3 AUT;CHEVROLET
NEW EXPLORER II E BAUER 4X4 4.6;FORD
CX 7 GT AWD 2.3 AUT;MAZDA
EXPLORER XLT E BAUER 4X4 4.6;FORD
WEEKEND TREKKING NB 1.4;FIAT
SPORTAGE PRO EX FULL 4X4 2.0 AUT;KIA MOTORS
REXTON 4X4 2.7;SSANGYONG
MURANO LE 4X4 3.5 AUT;NISSAN
SUBURBAN LT II 4WD 5.3 AT;CHEVROLET
X5;BMW
MONTERO SPORT G2 GLX 3.2 AT;MITSUBISHI
C 200 K;MERCEDES BENZ
EXPLORER XLT CONFORT 4.0 AUT;FORD
NITRO SXT 4X4 3.7;DODGE
NEW CARENS EX FULL 2.0 AUT;KIA MOTORS
GRAND CHEROKEE LAREDO 4X4 3.7 AUT;JEEP
ACTYON 2.0 AT;SSANGYONG
COMPASS SPORT LX 4X4 2.4 AUT;JEEP
NEW TRIBECA 3.6 4X4 AUT;SUBARU
GRAND NOMADE GLX 2.0 AT;SUZUKI
SANTA FE 4X4 2.2 AUT;HYUNDAI
KYRON 2.3;SSANGYONG
GRAND NOMADE GLX 4X4 2.0 AUT;SUZUKI
G NOMADE GLX SPORT 4X4 2.0 AUT;SUZUKI
NITRO SXT CRD 4X4 2.8 AUT;DODGE
CR V LX 2.4;HONDA
MULTISPACE 1.6;CITROEN
NEW TERIOS 1.5 AUT;DAIHATSU
NEW SCORPIO SUV GLX TURBO 2.2;MAHINDRA
XTRAIL S XL 801 4X4;NISSAN
RAV4 4X4 2.4 AT;TOYOTA
DURANGO 4X4 4.7;DODGE
WEEKEND TREKKING 1.8;FIAT
HOVER SA;GREAT WALL
Q7 TDI QUATTRO 3.0 AUT;AUDI
REXTON CRDI 4X4 2.7 AUT;SSANGYONG
VAN 1.3;DONGFENG
NEW SORENTO EX FULL 4X4 2.2 AT;KIA MOTORS
GRAND CARNIVAL LX DSL 2.9 AUT;KIA MOTORS
GRAND CARNIVAL LX DSL 2.9;KIA MOTORS
X TRAIL X 2.5 AUT;NISSAN
X TRAIL X 4X4 2.5 AT;NISSAN
X5 FL 3.0 AUT;BMW
NEW KYRON 2.0 AT;SSANGYONG
OUTLANDER GL 2.4;MITSUBISHI
CX 7 GT 2.3 AT;MAZDA
VIANO FUN;MERCEDES BENZ
SORENTO 4X4 2.2 AUT;KIA MOTORS
GRAND CHEROKEE LIMITED 5.7 AUT;JEEP
ALL NEW OUTBACK 3.6 AUT;SUBARU
GRAND TOWN COUNTRY LX 3.8 AT;CHRYSLER
NEW CARENS LX DSL 2.0;KIA MOTORS
GRAND NOMADE SPORT LE 3.2 AT;SUZUKI
CARENS EX FULL 2.0 AUT;KIA MOTORS
BERLINGO MULTISPACE N2 1.6;CITROEN
REXTON CRDI PS 2.7;SSANGYONG
XTRAIL CLASSIC 4WD 2.5;NISSAN
NEW TRIBECA 3.6 AWD;SUBARU
EDGE AWD 3.5 AUT;FORD
SANTA FE GLS 4X4 2.4 AUT;HYUNDAI
GRAND CARNIVAL FULL 2.9 AUT;KIA MOTORS
NEW G CHEROKEE OVERLAND 5.7 AUT;JEEP
CX 9 3.7 AT;MAZDA
APV GL 1.6;SUZUKI
EXPEDITION E BAUER 4WD 5.4 AUT;FORD
CX9 4X4 3.7 AUT;MAZDA
VITO 111 CDI 2.1;MERCEDES BENZ
ASX GL 2.0;MITSUBISHI
XTRAIL 4X4 AUT;NISSAN
DISCOVERY 3 4.0;LAND ROVER
KOLEOS DINAMIQUE 2.5 AT;RENAULT
HOVER 4X4 2.4;GREAT WALL
COMPASS LX 4X4 2.4;JEEP
GRAND CHEROKEE 4X4 5.7;JEEP
EDGE 4X4 3.5 AUT;FORD
SOUL LX 1.6 AUT;KIA MOTORS
TUCSON GL CRDI 4WD 2.0;HYUNDAI
NEW GRAND CHEROKEE LIMITED AUT;JEEP
SORENTO II LX 3.3;KIA MOTORS
TRAVERSE LTZ SU AWD 3.6;CHEVROLET
X1 XDRIVE 2.0 AUT;BMW
MONTERO SPORT G2 GLX 4X4 3.2 AUT;MITSUBISHI
XTRAIL 4X4 2.5 HIPERTRONICA;NISSAN
COMPASS LTD CVT 4X4 2.4 AUT;JEEP
GRAND CHEROKEE LAREDO 3.7;JEEP
REFINE VAN 2.8;JAC
EXPEDITION E BAUER 4WD 5.4 AT;FORD
HAVAL 3 LE 2.0;GREAT WALL MOTORS
NEW SORENTO EX 4X4 2.2 AT;KIA MOTORS
OUTLANDER GL 2.4 AUT;MITSUBISHI
EXPLORER II EB 4X4 4.6;FORD
CX 9 GT AWD AUT;MAZDA
GRAND CARNIVAL 2.9;KIA MOTORS
CAYENNE S;PORSCHE
LANDMARK 2.4;ZX
WRANGLER UNLIMITED RUB 4X4 3.8 AUT;JEEP
PILOT EX L 3.5;HONDA
SUCCE LUX 1.6;DONGFENG
NEW MONTERO SPORT G2 GLS 3.2;MITSUBISHI
LAND CRUISER PRADO 3.0;TOYOTA
CRV EXL 4X4 2.4;HONDA
EDGE SEL 4X4 3.5;FORD
TERIOS 4X4 1.5 AUT;DAIHATSU
NEW H1 2.5;HYUNDAI
DURANGO CITADEL AWD 5.7 AUT;DODGE
NEW PATHFINDER LE LUX 4X4 2.5 AUT;NISSAN
TERIOS 4X4 1.5;DAIHATSU
NEW OUTLANDER GL 2.4;MITSUBISHI
EXPLORER EDDIE BAUER;FORD
XC70 D5 PLUS;VOLVO
GRAND CARNIVAL LX DAB 2.9;KIA MOTORS
LEGACY 2.0 AUT;SUBARU
GRAND NOMADE 4X4 3.2 AUT;SUZUKI
XC60 4X4 3.0 AUT;VOLVO
FREELANDER 2 3.2;LAND ROVER
KYRON 2.3 AUT;SSANGYONG
JIMNY JLX 1.3;SUZUKI
REIN SE 2.0;JAC
RANGE ROVER SPORT 5.0;LAND ROVER
ALL NEW OUTBACK 2.5 AWD LIMITED;SUBARU
4 RUNNER SR5 LUJO 4.0 AUT;TOYOTA
GRAND CHEROKEE LAREDO 4X4 3.6 AUT;JEEP
X3 SI 3.0 AUT;BMW
GRAND CARNIVAL EX LIMITED 2.9 AUT;KIA MOTORS
XTRAIL FULL 2.5;NISSAN
KYRON FULL 4X4 2.0 AT;SSANGYONG
CHEROKEE LIMITED 3.7;JEEP
ZAFIRA II ESSENTIA 1.8;CHEVROLET
KOMBI TDI 2.0;VOLKSWAGEN
REXTON II XDI 4X4 2.7;SSANGYONG
ACTYON CRDI 2.3 AUT;SSANGYONG
LAND CRUISER PRADO LTD 4.0;TOYOTA
OUTBACK 2.5I AWD AUT;SUBARU
GRAND CARNIVAL 2.9 AUT;KIA MOTORS
JIMNY 1.3;SUZUKI
SANTA FE GLS 4X4 2.2;HYUNDAI
CX7 2.3 AT;MAZDA
NITRO SXT 3.7 AUT;DODGE
GRAND VITARA 4X4 1.6;SUZUKI
4RUNNER SR5 4.0;TOYOTA
GRAND CARNIVAL LX LTD 2.9 AUT;KIA MOTORS
NEW CARNIVAL LX 2.7 AT;KIA MOTORS
NEW LAND CRUISER PRADO 4X4 4.0 AUT;TOYOTA
SANTA FE FL GLS 2.4 AT;HYUNDAI
NEW SORENTO VGT EX FULL 4X4 2.5 AUT;KIA MOTORS
DURANGO CITADEL 5.7;DODGE
SPORTAGE LX DSL DAB 2.0;KIA MOTORS
SANTA FE FL GLS FULL 4X4 3.5 AUT;HYUNDAI
MURANO 3.5 AUT;NISSAN
SPORTAGE GSL 2.0 AUT;KIA MOTORS
TRIBECA 3.6 AUT;SUBARU
CX 7 GT AWD AUT;MAZDA
PARTNER TEPEE HDI 1.6;PEUGEOT
MURANO 4X4 3.5 HIPERTRONICA;NISSAN
REXTON 4X4 2.7 AT;SSANGYONG
Q5 2.0;AUDI
TRAVERSE LTZ SU AWD 3.6 AUT;CHEVROLET
OTING 2.4 AUT;DONGFENG
NEW H1 GL TCI TURBO 2.5;HYUNDAI
CARNIVAL LX 2.7;KIA MOTORS
X3 XDRIVE 35I 3.0 AUT;BMW
GRAND NOMADE 3.2 AT;SUZUKI
SURAN 1.6;VOLKSWAGEN
C4 PICASSO HDI;CITROEN
TRAVERSE LT SU 3.6 AUT;CHEVROLET
JOURNEY 2.7 AUT;DODGE
CARNIVAL LX 2.7 AT;KIA MOTORS
PATHFINDER SE 4X4 4.0 AUT;NISSAN
SANTA FE GLS CRDI 4WD 2.2;HYUNDAI
REXTON II CRDI 4X4 2.7 AUT;SSANGYONG
QASHQAI FULL 4X4 2.0 AUT;NISSAN
SPORTAGE LX DAB 2.0 AUT;KIA MOTORS
NEW KYRON XDI 2.0;SSANGYONG
V60 T6 PLUS;VOLVO
MONTERO SPORT 4X4 3.0 AUT;MITSUBISHI
GRAND TOWN Y COUNTRY LX 3.8 AUT;CHRYSLER
REFINE 2.8;JAC
CAPTIVA LT SU AWD 2.0;CHEVROLET
EXPLORER XLT COMFORT 4.0;FORD
XTRAIL XL 4X4 2.5 AUT;NISSAN
SURAN HIGHLINE;VOLKSWAGEN
NEW GRAND CHEROKEE LAREDO 3.6;JEEP
NEW RUNNER LIMITED 4X4 4.0 AUT;TOYOTA
MINI STAR 1.3;DONGFENG
DISCOVERY 3.0;LAND ROVER
JIMNY JX 1.3;SUZUKI
MURANO LE CVT 3.5;NISSAN
XC60T 4X4 2.0 AUT;VOLVO
OUTLANDER K2 2.4;MITSUBISHI
TUCSON GL CRDI 2.0 AT;HYUNDAI
RANGE ROVER SPORT 2.7;LAND ROVER
XTRAIL X LTD 4X4 2.5;NISSAN
MONTERO CR 4X4 3.2;MITSUBISHI
EXPLORER E B SYNC 4.6;FORD
ALL NEW LEGACY 2.0I AWD XS AUT;SUBARU
PATHFINDER 4X4 4.0 AUT;NISSAN
SORENTO II EX VGT FULL 4X4 2.5 AUT;KIA MOTORS
XV 2.0R AWD AT;SUBARU
GRAND NOMADE SPORT 4X4 3.2 AUT;SUZUKI
CHEROKEE LIBERTY LTD LX 3.7 AUT;JEEP
CX7 2.5;MAZDA
SPORTAGE PRO II LX 4X4 2.0;KIA MOTORS
MONTERO SPORT G2 GLX 3.2 AUT;MITSUBISHI
CAYENNE V6 3.0 AUT;PORSCHE
NITRO SLT 4X4 2.8 AUT;DODGE
FORESTER 2.5 AWD AT;SUBARU
X TRAIL X 2.5 AT;NISSAN
MOHAVE EX 4X4 3.8 AUT;KIA MOTORS
SORENTO EX FULL 4X4 2.2 AT;KIA MOTORS
GRAND CHEROKEE OVERLAND 5.7;JEEP
NEW ECOSPORT XLS;FORD
SCORPIO GLX TURBO 4X4 2.2;MAHINDRA
XC70 3.2;VOLVO
GRAND NOMADE SPORT 4X4 2.0;SUZUKI
HUNTER 1.5;ZOTYE
COMPASS SPORT LX 4X4 2.4 AT;JEEP
XTRAIL 4X4;NISSAN
STAVIC CRDI 2.7 AT;SSANGYONG
4RUNNER LIMITED 4X4 6.0 AUT;TOYOTA
NEW H1 GLS TCI 2.5 A;HYUNDAI
GL350 CDI;MERCEDES BENZ
NEW SCORPIO SUV 2.2;MAHINDRA
XTRAIL 4X4 2.5 AT;NISSAN
CAPTIVA LS AWD 2.0;CHEVROLET
N OUTLANDER K2 FULL 4X4 3.0 AUT;MITSUBISHI
4 RUNNER SR 5;TOYOTA
REFINE VAN SE 2.8;JAC
TIGUAN TSI HIGHLINE 2.0 AUT;VOLKSWAGEN
NEW COMPASS SPORT 4X4 2.4 AUT;JEEP
LANDMARK FULL 4X4 2.4;ZXAUTO
GRAND CARAVAN SE 3.3 AUT;DODGE
SANTA FE FL GLS CRDI 4X4 2.2 AUT;HYUNDAI
RAV4 LIMITED 4X4 2.4 AUT;TOYOTA
SANTA FE FL CRDI FULL 4X4 2.2 AUT;HYUNDAI
4RUNNER LIMITED 4.0;TOYOTA
GRAND VITARA 2.4;SUZUKI
MONTERO SPORT GL 4X4 2.5 AUT;MITSUBISHI
ASX GLS 4X4 2.0 AT;MITSUBISHI
X TRAIL X AT;NISSAN
DURANGO 4X4 4.7 AUT;DODGE
STAVIC XDI AUT;SSANGYONG
CX9 GT AWD 3.7;MAZDA
NEW SCORPIO SUV CRDE 4X4 2.2;MAHINDRA
JOURNEY SXT 2.7;DODGE
TUCSON GL 4WD 2.0 AT;HYUNDAI
WRANGLER UNLIMITED RUBICON 3.8 AT;JEEP
XV 2.0 AWD AT;SUBARU
NEW KYRON XDI 4X4 2.0 AUT;SSANGYONG
GRAND VITARA SPORT 1.6;SUZUKI
REXTON II 2.7 AUT;SSANGYONG
NEW SORENTO EX 2.2;KIA MOTORS
XTRAIL 2.5 AT;NISSAN
SUBURBAN 5.3;CHEVROLET
NEW SCORPIO SUV CRDE 2.2;MAHINDRA
CARNIVAL LX 2.7 AUT;KIA MOTORS
NEW OUTLANDER K2 2.4 AUT;MITSUBISHI
STAVIC 2.7 AUT;SSANGYONG
NEW OUTLANDER K2 4X4 2.4 AUT;MITSUBISHI
ALL NEW OUTBACK 2.5I AWD LTD;SUBARU
APV 1.6;SUZUKI
PATHFINDER SE 2.5 AUT;NISSAN
XL7 3.6 AT;SUZUKI
COUNTRYMAN COOPER S;MINI
GRAND NOMADE 2.0 AT;SUZUKI
NEW OUTLANDER K2 4X4 3.0 AUT;MITSUBISHI
EXPERT COMBI CONFORT HDI 1.6;PEUGEOT
EXPLORER XLT 4X4;FORD
SEQUOIA 4X4 5.7 AUT;TOYOTA
GRAND TOWN Y COUNTRY LX 3.8;CHRYSLER
NEW MONTERO SPORT G2 GLX 4X4 3.2;MITSUBISHI
SPORTAGE LX DAB 4X4 2.0 AUT;KIA MOTORS
MONTERO SPORT G2 GLX 3.5 AUT;MITSUBISHI
DURANGO 4X4 5.7;DODGE
ACTYON XDI 2.3;SSANGYONG
X5 XDRIVE 50I 4.4 AUT;BMW
NEW FORESTER 2.0 AWD XS AT;SUBARU
4RUNNER 4WD 4.0 AUT;TOYOTA
CAYENNE TURBO;PORSCHE
RX450 H 4X4 3.5 AUT;LEXUS
ASX GLS 4X4 2.0;MITSUBISHI
MONTERO SPORT 3.0 AT;MITSUBISHI
EXPERT COMBI PREMIUM HDI 1.6;PEUGEOT
CHEROKEE LIMITED LX 3.7 AUT;JEEP
ESCAPE XLT 2.5;FORD
WRANGLER UNLIMITED 4X4 3.8 AUT;JEEP
GRAND CHEROKEE LTD 4X4 3.6 AUT;JEEP
NEW XTRAIL 4WD 2.5 AUT;NISSAN
MONTERO SPORT G2 3.2;MITSUBISHI
NEW SCORPIO GLX TURBO 4X4 2.2;MAHINDRA
CARENS LX DSL 2.0;KIA MOTORS
TAHOE LT III 4WD 5.3 AT;CHEVROLET
MONTERO SPORT GL 2.5 AUT;MITSUBISHI
SPORTAGE PRO II EX 4X4 2.0 AUT;KIA MOTORS
TRIP SE 1.8;JAC
DISCOVERY 4 5.0;LAND ROVER
WRANGLER UNLIMITED SAHARA 2.8 AUT;JEEP
RAV4 2.3 AUT;TOYOTA
ALL NEW OUTBACK 2.5I 4X4 XS;SUBARU
EQ6380LF 1.3;DONGFENG
308 PREMIUM HDI 1.6;PEUGEOT
NEW GRAND CHEROKEE;JEEP
VIANO CDI 2.2;MERCEDES BENZ
NEW CARENS GSL LX 2.0;KIA MOTORS
SANTA FE 2.2;HYUNDAI
CALIBER SXT 2.0;DODGE
REFINE 2.4;JAC
QASHQAI FULL 1.6;NISSAN
COUNTRYMAN COOPER 1.6 AUT;MINI
ASX GLS 4X4 2.0 AUT;MITSUBISHI
EDGE 3.5 AT;FORD
CAPTIVA LT 4X4 2.0 AUT;CHEVROLET
NEW LX570 4X4 5.7 AUT;LEXUS
SORENTO 4X4 2.3 AUT;KIA
X3 XDRIVE 20D 2.0 AUT;BMW
COUNTRYMAN COOPER AT;MINI
3008 PREMIUM 1.6;PEUGEOT
MONTERO MIVEC 3.8 AUT;MITSUBISHI
XC 90;VOLVO
CARENS LX GSL 2.0;KIA MOTORS
CARENS 2.0;KIA MOTORS
SPORTAGE PRO LX 4X4 2.0;KIA
MURANO 4X4 3.5 AT;NISSAN
TUCSON GL 2.5;HYUNDAI
Q5 TURBO 2.0;AUDI
CAYENNE 3.6 AUT;PORSCHE
CX 7 2.3;MAZDA
NEW MONTERO SPORT GLS 4X43.2 AUT;MITSUBISHI
BERLINGO MULTISPACE 1.6;CITROEN
NEW MONTERO SPORT G2 GLS 4X4 3.2;MITSUBISHI
Q5 2.0 QUATTRO;AUDI
NEW CARNIVAL LX 2.7 AUT;KIA MOTORS
RX350 3.5 AUT;LEXUS
NEW COMPASS LIMITED 2.4;JEEP
KORANDO XDI 4X4;SSANGYONG
GRAND NOMADE GLX SPORT 4X4 1.9;SUZUKI
REXTON 2.7 AT;SSANGYONG
OUTLANDER K2 FULL;MITSUBISHI
X TRAIL X LTD 4X4 AUT;NISSAN
V 50 T5;VOLVO
ASX GLX AUT;MITSUBISHI
LANDMARK;ZX
ZHONGYI CARGO VAN 970 CC;HAFEI
GRAND CARNIVAL FULL LTD 2.9 AUT;KIA MOTORS
OUTLANDER 3.0 AUT;MITSUBISHI
SANTA FE FL GLS FULL 4X4 2.4 AUT;HYUNDAI
GRAND NOMADE 2.4 AUT;SUZUKI
NEW SCORPIO SUV 4X4 2.2;MAHINDRA
G VITARA GLX S 4X4 1.6;SUZUKI
SOUL LX DAB;KIA MOTORS
REXTON XDI 4X4 2.7;SSANGYONG
KOLEOS DYNAMIQUE FULL 4X4 2.5 AT;RENAULT
TEPPE OUTDOOR HDI 1.6;PEUGEOT
NEW TERIOS 4X4 1.5 AUT;DAIHATSU
OUTBACK 2.5 AWD;SUBARU
MONTERO SPORT G2 3.5 AT;MITSUBISHI
308 CONFORT PACK HDI 1.6;PEUGEOT
GRAND CHEROKEE 5.7;JEEP
EDGE 3.5;FORD
CAPTIVA LS SU 2.0;CHEVROLET
NEW RAV4 LTD 4X4 2.4 AUT;TOYOTA
SAFE 2.2;GREAT WALL MOTORS
NEW MURANO 4X4 3.5 AUT;NISSAN
SORENTO EX GLS 2.4;KIA MOTORS
VERACRUZ GLS 4X4 3.0 AUT;HYUNDAI
SPORTAGE PRO II DAB 4X4 2.0 AUT;KIA MOTORS
NEW G CHEROKEE 3.7 AUT;JEEP
XV AWD 2.0R AUT;SUBARU
ESCAPE 4X4 2.5;FORD
MONTERO SPORT G2 GLX 3.5 AT;MITSUBISHI
CARENS EX FULL 2.0 AUT;KIA
CARENS LX GSL 2.0;KIA
CAYENNE 4X4 3.0 AUT;PORSCHE
NEW MONTERO SPORT G2 GLX 3.2 AT;MITSUBISHI
KOLEOS DYNAMIQUE 2.5 AUT;RENAULT
MURANO SL AWD 3.5;NISSAN
RAV 4X4 2.4;TOYOTA
JOURNEY SXT 2.7 AUTOSTICK AT;DODGE
NEW MONTERO SPORT G2 GLS 3.2 AT;MITSUBISHI
DISCOVERY 4 HSE 5.0;LAND ROVER
OUTLANDER GLS 2.4;MITSUBISHI
ASX GLS 4WD AUT;MITSUBISHI
GLK 220 CDI BLUE EFFICIENCY;MERCEDES BENZ
NEW II SORENTO VGT EX 4X4 2.5;KIA MOTORS
EXPLORER XLT 4X4 4.0 AUT;FORD
NEW TUCSON GLS CRDI 4X4 2.0 AUT;HYUNDAI
HAVAL 3 LE 4X4 2.0;GREAT WALL MOTORS
ALL NEW LEGACY 2.0I AWD CVT XS AUT;SUBARU
GRAND NOMADE GLX SPORT 4X4 2.4 AUT;SUZUKI
WRANGLER 4X4 3.8;JEEP
REFINE CARGO 2.8;JAC
VERACRUZ GLS 4X4 3.0;HYUNDAI
ML350 3.5;MERCEDES BENZ
ESCAPE XLS 2.5 AUT;FORD
GRAND NOMADE SPORT LE 4X4 3.2 AT;SUZUKI
COMPASS LIMITED 2.4 AT;JEEP
APV2 1.6;SUZUKI
MONTERO SPORT G2 GLS 3.2 AT;MITSUBISHI
NEW OUTLANDER K2 GL 2.4 AUT;MITSUBISHI
CX 7 GT AWD 2.3 AT;MAZDA
UPLANDER;CHEVROLET
GLK 300 3.0;MERCEDES BENZ
VERACRUZ GLS 4WD 3.8 AUT;HYUNDAI
NEW TUCSON GL CRDI 4WD 2.0 AT;HYUNDAI
CX 7 R 2.3 AT;MAZDA
CX 9 GT AWD AT;MAZDA
G NOMADE GLX SPORT 4X4 2.4 AUT;SUZUKI
C4 PICASSO SD HDI 1.6;CITROEN
RAV4 LIMITED 2.4 AUT;TOYOTA
SPORTAGE PRO LX 2.0;KIA MOTORS
SANTA FE FL GLS 4WD 2.4 AT;HYUNDAI
SUBURBAN LT III 4WD 5.3 AT;CHEVROLET
LAND CRUISER 4X4 4.0;TOYOTA
EDGE AWD 3.5;FORD
CHEROKEE LIBERTY SPORT 3.7;JEEP
AURORA 2.2;SGM
NEW G CHEROKEE LAREDO 4X4 3.7 AUT;JEEP
NEW GRAND CHEROKEE LTD 4X4 3.6 AUT;JEEP
TAHOE LT 5.3 AUT;CHEVROLET
NEW ECOSPORT XLT PLUS;FORD
KOLEOS DINAMIQUE 4X4 2.5 AUT;RENAULT
MONTERO SPORT GL 3.2;MITSUBISHI
XC60 4X4 2.4 AUT;VOLVO
XV 2.0R AWD LIMITED AT;SUBARU
SPORTAGE LX DSL 2.0;KIA MOTORS
OPTRA 1.6;CHEVROLET
VIANO CDI 2.1 AUT;MERCEDES BENZ
NEW KYRON XDI 4X4 2.0 AT;SSANGYONG
DURANGO LUX 3.6 AUT;DODGE
CAYENNE TURBO E2;PORSCHE
GRAND NOMADE GLX;SUZUKI
CRV LXR 2.4 AUT;HONDA
MURANO SL 4WD 3.5 AUT;NISSAN
CARENS EX 2.0 AUT;KIA
GLK 350;MERCEDES BENZ
NEW XTRAIL FULL 4WD 2.5 AUT;NISSAN
REXTON XDI 2.7 AT;SSANGYONG
TUCSON GL CRDI 4WD 2.0 AT;HYUNDAI
CELERIO GA 1.0;SUZUKI
SANTA FE FL GLS CRDI 4WD 2.2 AT;HYUNDAI
COUNTRYMAN COOPER 1.6;MINI
SANTA FE FL CRDI FULL 4WD 2.2 AT;HYUNDAI
LANDSCAPE FULL 2.2;AUTORRAD
SCORPIO TURBO 4X4 2.2;MAHINDRA
JIMNY JLX SPORT 1.3;SUZUKI
DISCOVERY 4 2.7;LAND ROVER
FORESTER 2 LTD AWD 2.5 AUT;SUBARU
NEW MONTERO SPORT G2 4X4 3.2 AT;MITSUBISHI
EXPLORER XLT 4X4 4.0;FORD
NEW OUTLANDER GL 4X4 2.4 AUT;MITSUBISHI
NEW TUCSON GL CRDI 4WD 2.0 AUT;HYUNDAI
GRAND NOMADE GLX SPORT 2.0 AUT;SUZUKI
ACTYON 2.0 AUT;SSANGYONG
NEW OUTLANDER K2 3.0 AT;MITSUBISHI
CR V 2.4;HONDA
PATHFINDER LE LUX 4X4 2.5 AUT;NISSAN
PATHFINDER 2.5 AT;NISSAN
FORESTER 2.0 AWD LIMITED AT;SUBARU
ECOSPORT XLT PLUS 1.6 AUT;FORD
GRAND TOWN COUNTRY LX 2.8 AUT;CHRYSLER
MURANO CVT FULL 4X4 3.5 AUT;NISSAN
XV 2.0 AWD LIMITED AT;SUBARU
JIMNY JX PS 4X4 1.3;SUZUKI
NEW MONTERO 3.2 AUT;MITSUBISHI
FORESTER 2 AWD 2.0;SUBARU
CARAVELLE 3.2 AUT;VOLKSWAGEN
VIANO TREND COMPACTA  2.2;MERCEDES BENZ
GRAND NOMADE 4X4 2.4 AT;SUZUKI
RAV4 4X4  AUT;TOYOTA
SPORTAGE PRO 4X4 2.0 AUT;KIA MOTORS
VITO 113 CDI 2.1;MERCEDES BENZ
SPORTAGE PRO II EX DAB 4X4 AUT;KIA MOTORS
C4 PICASSO 2.0 AUT;CITROEN
NEW OUTLANDER K2 GLS FULL 2.4 AT;MITSUBISHI
GRAND CARNIVAL LX DSL DAB 2.9;KIA MOTORS
CARNIVAL LX GSL 2.7;KIA MOTORS
NEW OUTLANDER K2 4X4 3.0 AT;MITSUBISHI
NEW G CHEROKEE OVERL 4X4 5.7 AUT;JEEP
NEW MONTERO SPORT G2 4X4 3.2 AUT;MITSUBISHI
FORESTER 2.0 AWD LTD AT;SUBARU
X TRAIL X LTD;NISSAN
CHEROKEE LIBERTY 3.7 AT;JEEP
CX 9 GT SIX PASSENGER EDITION AWD;MAZDA
NEW GRAND CHEROKEE LAREDO 4.0;JEEP
GRAND NOMADE 3.2;SUZUKI
TERRACAN FULL 4X4 2.4;HUATAI
GRANDTOWN Y COUNTRY LX 2.8 AT;CHRYSLER
DURANGO LUX AWD 3.6 AUT;DODGE
X TRAIL 4X4 CVT;NISSAN
ESCALADE 5.0 AUT;CADILLAC
SCORPIO SUV GLX TURBO 4X4 2.2;MAHINDRA
CALIBER SXT DOHC VVT 2.0 AUT;DODGE
NEW SCORPIO SUV GLX 4X4 2.2;MAHINDRA
LIEBAO FULL 4X4 2.4;CHANGFENG
GRAND CARNIVAL EX 2.9;KIA MOTORS
BERLINGO N2 HDI 1.6;CITROEN
CAYENNE S E2;PORSCHE
SPORTAGE LX GLS DAB 2.0;KIA MOTORS
NEW GRAND CHEROKEE LTD 4X4 4.7 AUT;JEEP
SORENTO EX 4X4 2.4 AT;KIA MOTORS
EXPLORER E B SYNC 4.6 AUT;FORD
KORANDO TURBO 2.0;SSANGYONG
CHEROKEE LIBERTY LIMITED 3.7 AT;JEEP
C4 PICASSO 1.8;CITROEN
XL7 4X4 3.6 AUT;SUZUKI
OUTBACK 2.5;SUBARU
SEQUOIA SUV 4X4 5.7;TOYOTA
FX 35 3.5 AUT;INFINITI
ORLANDO LT 2.0 AT;CHEVROLET
EXPLORER XLT 3.5 AT;FORD
REXTON XDI 2.7 AUT;SSANGYONG
DURANGO CITADEL 4X4 5.7 AUT;DODGE
CAPTIVA II LT FULL AWD 2.4 AUT;CHEVROLET
Q5 OFFROAD 3.2;AUDI
NEW ESCAPE XLT 2.3 AUT;FORD
SANTA FE FL GLS CRDI 4X4 2.0 AUT;HYUNDAI
PATHFINDER 2.5;NISSAN
TERIOS STD 1.5;DAIHATSU
GL350 4X4 3.0 AUT;MERCEDES BENZ
ALL NEW OUTBACK 3.6 AWD;SUBARU
PATHFINDER 4X4 2.5 AUT;NISSAN
GRAND NOMADE GLX SPORT 1.9;SUZUKI
NEW DURANGO CITADEL AWD 5.7;DODGE
